observationID,scientificName,minTimestamp,maxTimestamp,sequenceID,deploymentID
ef2f7140-ae97-4b44-8309-ab1ffbc02879:1,,2020-07-29T05:29:41Z,2020-07-29T05:29:41Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:2,,2020-07-29T05:29:42Z,2020-07-29T05:29:42Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:3,,2020-07-29T05:29:43Z,2020-07-29T05:29:43Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:4,,2020-07-29T05:29:43Z,2020-07-29T05:29:43Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:5,,2020-07-29T05:29:44Z,2020-07-29T05:29:44Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:6,,2020-07-29T05:29:44Z,2020-07-29T05:29:44Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:7,,2020-07-29T05:29:45Z,2020-07-29T05:29:45Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:8,,2020-07-29T05:29:46Z,2020-07-29T05:29:46Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:9,,2020-07-29T05:29:46Z,2020-07-29T05:29:46Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879:10,,2020-07-29T05:29:47Z,2020-07-29T05:29:47Z,8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:11,,2020-07-29T05:38:55Z,2020-07-29T05:38:55Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:12,,2020-07-29T05:38:55Z,2020-07-29T05:38:55Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:13,,2020-07-29T05:38:56Z,2020-07-29T05:38:56Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:14,,2020-07-29T05:38:56Z,2020-07-29T05:38:56Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:15,,2020-07-29T05:38:57Z,2020-07-29T05:38:57Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:16,,2020-07-29T05:38:58Z,2020-07-29T05:38:58Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:17,,2020-07-29T05:38:58Z,2020-07-29T05:38:58Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:18,,2020-07-29T05:38:59Z,2020-07-29T05:38:59Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:19,,2020-07-29T05:38:59Z,2020-07-29T05:38:59Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11:20,,2020-07-29T05:39:00Z,2020-07-29T05:39:00Z,1d98da96-c3ce-4479-9b97-8883cd33724f,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:21,Anas strepera,2020-07-29T05:46:48Z,2020-07-29T05:46:48Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:22,Anas strepera,2020-07-29T05:46:49Z,2020-07-29T05:46:49Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:23,Anas strepera,2020-07-29T05:46:49Z,2020-07-29T05:46:49Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:24,Anas strepera,2020-07-29T05:46:50Z,2020-07-29T05:46:50Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:25,Anas strepera,2020-07-29T05:46:51Z,2020-07-29T05:46:51Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:26,Anas strepera,2020-07-29T05:46:51Z,2020-07-29T05:46:51Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:27,Anas strepera,2020-07-29T05:46:52Z,2020-07-29T05:46:52Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:28,Anas strepera,2020-07-29T05:46:52Z,2020-07-29T05:46:52Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:29,Anas strepera,2020-07-29T05:46:53Z,2020-07-29T05:46:53Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a:30,Anas strepera,2020-07-29T05:46:54Z,2020-07-29T05:46:54Z,89b807ca-697f-4452-8349-b235622c94fa,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:31,Anas strepera,2020-07-30T04:29:31Z,2020-07-30T04:29:31Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:32,Anas strepera,2020-07-30T04:29:32Z,2020-07-30T04:29:32Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:33,Anas strepera,2020-07-30T04:29:33Z,2020-07-30T04:29:33Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:34,Anas strepera,2020-07-30T04:29:33Z,2020-07-30T04:29:33Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:35,Anas strepera,2020-07-30T04:29:34Z,2020-07-30T04:29:34Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:36,Anas strepera,2020-07-30T04:29:34Z,2020-07-30T04:29:34Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:37,Anas strepera,2020-07-30T04:29:35Z,2020-07-30T04:29:35Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:38,Anas strepera,2020-07-30T04:29:36Z,2020-07-30T04:29:36Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:39,Anas strepera,2020-07-30T04:29:36Z,2020-07-30T04:29:36Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:40,Anas strepera,2020-07-30T04:29:37Z,2020-07-30T04:29:37Z,710eac2a-e261-478d-84e8-de99f418138c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
e57d97b3-f15b-48f5-a86c-477952bf8b7a:41,Anas platyrhynchos,2020-07-31T04:43:33Z,2020-07-31T04:43:33Z,149f42ec-37bb-499b-9dac-24a90979e92c,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
