observationID,mediaID,sequenceID,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy,classificationTimestamp,classificationConfidence,comments,_id
ef2f7140-ae97-4b44-8309-ab1ffbc02879:1,3e65dfaa-b239-4834-b809-2bc1b06e26cc,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:2,dbfba6c1-ec77-4048-9b3b-aac3ace43c24,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:3,006d72c5-dcbc-4e7f-ac29-e6ca1644693f,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:4,d7fde0a6-8b6f-41a5-be4a-ef3950aef757,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:5,0b2b5fb0-6220-4679-9b10-2b98d4ab866e,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:6,402bd5dd-da18-4403-a729-010197ed1214,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:7,6f506725-fa9b-4cbf-9c81-d9aa77d7c592,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:8,1f76ae45-2422-4fae-a479-a2f1163d5230,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:9,6fb5e4ca-ccb1-4358-8e24-7135a9aa2417,,unknown,FALSE,,,,,,,,,human,,,,,
ef2f7140-ae97-4b44-8309-ab1ffbc02879:10,2fd956b5-f215-49a7-ae79-eb902216c044,,unknown,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:11,0ca1bfc7-f5f4-4bd4-91b6-6e0b02399cbf,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:12,fa6d8b73-c37a-42e9-8346-c0e26e1a5195,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:13,3798e2c5-9191-4980-97e0-dea9e271e97f,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:14,be890542-6845-4c24-aefb-d29ac08e1ebb,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:15,57214693-88a3-4449-b4e9-913656b74ea7,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:16,d32e790c-a3c8-444a-b733-94505e3150ee,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:17,1df7ff8a-bde1-4c9a-884e-687b347132c3,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:18,ccab7c7d-fbd6-451d-ae07-9ad0f46cc26b,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:19,fb19a8b7-1c7a-43dc-9173-1c1481bc7903,,blank,FALSE,,,,,,,,,human,,,,,
68686a75-ad44-4676-b45e-2b85f60e4d11:20,3b11a509-ca8e-4b93-b295-85a52daddf74,,blank,FALSE,,,,,,,,,human,,,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:21,8263e85b-786a-4f62-9817-d54fb1dafb5d,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:22,cf97e186-9679-4cd9-95fa-dfa50d8003cc,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:23,969ee7eb-6bd1-41b5-ac69-cd957e819f75,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:24,2f80c542-7c7c-490f-a34b-297029f52a9b,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:25,a67541cf-0769-44ca-9af1-853298cc7580,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:26,00c300dc-68dc-4ad6-ac48-57a765794cc6,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:27,e5a7fafa-ce79-4a57-82f3-2f9e4e35f1a9,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:28,465e0790-4e14-4169-ab82-3da2cd59ff9f,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:29,a3d8e093-2471-4a5c-bc77-20618e641dd3,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
3d065f23-426a-449b-8693-f3c6b2ac9c7a:30,9aa6b614-d598-44f1-b953-559bc00d1d84,,animal,FALSE,DGPL,Anas strepera,4,,subadult,unknown,,,human,Danny Van der beeck,2020-08-17T06:57:28Z,,,
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:31,6ef7e463-b487-4882-a705-2f0634949531,,animal,FALSE,DGPL,Anas strepera,1,,adult,female,,,human,Danny Van der beeck,2020-08-17T06:57:50Z,,,
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f:32,9daa27f6-c369-48a5-8ee4-42009111a96f,,animal,FALSE,DGPL,Anas strepera,1,,adult,female,,,human,Danny Van der beeck,2020-08-17T06:57:50Z,,,
